"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005M01","National - all residential properties","Base 2015=100","124.9"
"Residential Property Price Index","2005M01","National - houses","Base 2015=100","120.7"
"Residential Property Price Index","2005M01","National - apartments","Base 2015=100","153.4"
"Residential Property Price Index","2005M01","Dublin - all residential properties","Base 2015=100","118.5"
"Residential Property Price Index","2005M01","Dublin - houses","Base 2015=100","112"
"Residential Property Price Index","2005M01","Dublin - apartments","Base 2015=100","144"
"Residential Property Price Index","2005M01","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","National excluding Dublin - all residential properties","Base 2015=100","142.1"
"Residential Property Price Index","2005M01","National excluding Dublin - houses","Base 2015=100","139"
"Residential Property Price Index","2005M01","National excluding Dublin - apartments","Base 2015=100","200.3"
"Residential Property Price Index","2005M01","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M01","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","National - all residential properties","Base 2015=100","125.9"
"Residential Property Price Index","2005M02","National - houses","Base 2015=100","121.8"
"Residential Property Price Index","2005M02","National - apartments","Base 2015=100","153.8"
"Residential Property Price Index","2005M02","Dublin - all residential properties","Base 2015=100","121"
"Residential Property Price Index","2005M02","Dublin - houses","Base 2015=100","113.9"
"Residential Property Price Index","2005M02","Dublin - apartments","Base 2015=100","148.8"
"Residential Property Price Index","2005M02","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","National excluding Dublin - all residential properties","Base 2015=100","142.2"
"Residential Property Price Index","2005M02","National excluding Dublin - houses","Base 2015=100","139.7"
"Residential Property Price Index","2005M02","National excluding Dublin - apartments","Base 2015=100","188.6"
"Residential Property Price Index","2005M02","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M02","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","National - all residential properties","Base 2015=100","126.6"
"Residential Property Price Index","2005M03","National - houses","Base 2015=100","122.7"
"Residential Property Price Index","2005M03","National - apartments","Base 2015=100","153.7"
"Residential Property Price Index","2005M03","Dublin - all residential properties","Base 2015=100","121.9"
"Residential Property Price Index","2005M03","Dublin - houses","Base 2015=100","114.9"
"Residential Property Price Index","2005M03","Dublin - apartments","Base 2015=100","150"
"Residential Property Price Index","2005M03","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","National excluding Dublin - all residential properties","Base 2015=100","142.9"
"Residential Property Price Index","2005M03","National excluding Dublin - houses","Base 2015=100","140.5"
"Residential Property Price Index","2005M03","National excluding Dublin - apartments","Base 2015=100","184.4"
"Residential Property Price Index","2005M03","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M03","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","National - all residential properties","Base 2015=100","127.5"
"Residential Property Price Index","2005M04","National - houses","Base 2015=100","123.7"
"Residential Property Price Index","2005M04","National - apartments","Base 2015=100","153.5"
"Residential Property Price Index","2005M04","Dublin - all residential properties","Base 2015=100","122.7"
"Residential Property Price Index","2005M04","Dublin - houses","Base 2015=100","116.2"
"Residential Property Price Index","2005M04","Dublin - apartments","Base 2015=100","150.1"
"Residential Property Price Index","2005M04","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","National excluding Dublin - all residential properties","Base 2015=100","143.8"
"Residential Property Price Index","2005M04","National excluding Dublin - houses","Base 2015=100","141.5"
"Residential Property Price Index","2005M04","National excluding Dublin - apartments","Base 2015=100","182.8"
"Residential Property Price Index","2005M04","Border - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","West - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2005M04","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","National - all residential properties","Base 2015=100","128.4"
"Residential Property Price Index","2005M05","National - houses","Base 2015=100","124.6"
"Residential Property Price Index","2005M05","National - apartments","Base 2015=100","153.7"
"Residential Property Price Index","2005M05","Dublin - all residential properties","Base 2015=100","123.7"
"Residential Property Price Index","2005M05","Dublin - houses","Base 2015=100","117.4"
"Residential Property Price Index","2005M05","Dublin - apartments","Base 2015=100","150.1"
"Residential Property Price Index","2005M05","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2005M05","South Dublin - houses","Base 2015=100",""
