"Statistic","Month","Age Group","Sex","UNIT","VALUE"
"Seasonally Adjusted Monthly Unemployment","1998M01","15 - 24 years","Both sexes","Thousand","55"
"Seasonally Adjusted Monthly Unemployment","1998M01","15 - 24 years","Male","Thousand","31.3"
"Seasonally Adjusted Monthly Unemployment","1998M01","15 - 24 years","Female","Thousand","23.8"
"Seasonally Adjusted Monthly Unemployment","1998M01","15 - 74 years","Both sexes","Thousand","151.1"
"Seasonally Adjusted Monthly Unemployment","1998M01","15 - 74 years","Male","Thousand","86.4"
"Seasonally Adjusted Monthly Unemployment","1998M01","15 - 74 years","Female","Thousand","64.6"
"Seasonally Adjusted Monthly Unemployment","1998M01","25 - 74 years","Both sexes","Thousand","96"
"Seasonally Adjusted Monthly Unemployment","1998M01","25 - 74 years","Male","Thousand","55.2"
"Seasonally Adjusted Monthly Unemployment","1998M01","25 - 74 years","Female","Thousand","40.9"
"Seasonally Adjusted Monthly Unemployment","1998M02","15 - 24 years","Both sexes","Thousand","54"
"Seasonally Adjusted Monthly Unemployment","1998M02","15 - 24 years","Male","Thousand","30.8"
"Seasonally Adjusted Monthly Unemployment","1998M02","15 - 24 years","Female","Thousand","23.2"
"Seasonally Adjusted Monthly Unemployment","1998M02","15 - 74 years","Both sexes","Thousand","153.1"
"Seasonally Adjusted Monthly Unemployment","1998M02","15 - 74 years","Male","Thousand","87.8"
"Seasonally Adjusted Monthly Unemployment","1998M02","15 - 74 years","Female","Thousand","65.3"
"Seasonally Adjusted Monthly Unemployment","1998M02","25 - 74 years","Both sexes","Thousand","99"
"Seasonally Adjusted Monthly Unemployment","1998M02","25 - 74 years","Male","Thousand","57"
"Seasonally Adjusted Monthly Unemployment","1998M02","25 - 74 years","Female","Thousand","42.1"
"Seasonally Adjusted Monthly Unemployment","1998M03","15 - 24 years","Both sexes","Thousand","51.8"
"Seasonally Adjusted Monthly Unemployment","1998M03","15 - 24 years","Male","Thousand","29.5"
"Seasonally Adjusted Monthly Unemployment","1998M03","15 - 24 years","Female","Thousand","22.3"
"Seasonally Adjusted Monthly Unemployment","1998M03","15 - 74 years","Both sexes","Thousand","149.6"
